Dataset,Model,AUC,ACC,LOSS,n_samples
ShapeletSim,TS2Vec,0.412469,0.427778,0.694654,180
ShapeletSim,Two-Tower,0.524321,0.488889,0.710864,180
ShapesAll,FEDformer,0.810172,0.158333,0.076385,600
ShapesAll,Informer,0.676177,0.016667,0.084619,600
ShapesAll,TS2Vec,0.586811,0.093333,0.083824,600
ShapesAll,Two-Tower,0.926949,0.721667,0.035650,600
SmallKitchenAppliances,FEDformer,0.780313,0.754386,0.361925,57
SmallKitchenAppliances,Informer,0.670373,0.789474,0.352276,57
SmallKitchenAppliances,TS2Vec,0.650109,0.771930,0.408485,57
SmallKitchenAppliances,Two-Tower,0.724047,0.771930,0.390457,57
SonyAIBORobotSurface1,FEDformer,0.686029,0.430718,0.860142,599
SonyAIBORobotSurface1,Informer,0.965957,0.437396,0.679720,599
SonyAIBORobotSurface1,TS2Vec,0.179693,0.430718,0.722461,599
SonyAIBORobotSurface1,Two-Tower,0.953704,0.611018,0.591437,599
SonyAIBORobotSurface2,FEDformer,0.649110,0.616931,0.662644,945
SonyAIBORobotSurface2,Informer,0.894841,0.813757,0.507206,945
SonyAIBORobotSurface2,TS2Vec,0.670334,0.617989,0.669465,945
SonyAIBORobotSurface2,Two-Tower,0.859819,0.787302,0.460621,945
StarLightCurves,FEDformer,0.976734,0.960782,0.109722,8236
StarLightCurves,Informer,0.942322,0.867654,0.186262,8236
StarLightCurves,TS2Vec,0.926500,0.849077,0.285178,8236
StarLightCurves,Two-Tower,0.978197,0.938320,0.128454,8236
Strawberry,FEDformer,0.983925,0.948649,0.163111,370
Strawberry,Informer,0.858703,0.708108,0.582857,370
Strawberry,TS2Vec,0.690890,0.643243,0.630285,370
Strawberry,Two-Tower,0.965272,0.905405,0.232974,370
SwedishLeaf,FEDformer,0.937013,0.688000,0.147090,625
SwedishLeaf,Informer,0.790232,0.236800,0.219935,625
SwedishLeaf,TS2Vec,0.833268,0.131200,0.236786,625
SwedishLeaf,Two-Tower,0.987241,0.854400,0.072569,625
Symbols,FEDformer,0.801102,0.333668,0.423900,995
Symbols,Informer,0.912589,0.173869,0.502511,995
Symbols,TS2Vec,0.566011,0.164824,0.586985,995
Symbols,Two-Tower,0.974598,0.761809,0.184895,995
